rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
41,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Aruata,1 Aruata,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
42,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Arcon,1 Arcon,172,Alcon,Alcon. Lxx.,R. Talbert: * 11C4 ,2786,II1 Arcon,Arcon,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1932,TRUE,49972, 11C4,Alcon,Alcon,Elankoros,https://tp-online.ku.de/trefferanzeige_en.php?id=1932,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2786.html,https://pleiades.stoa.org/places/49972,8.19228,77.265021,0.586431422,-0.026952578,2.1,India Dimirica Evilat,Castorius (Roman),-
43,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Cetis,1 Cetis,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
44,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Elcundis,1 Elcundis,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
45,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Corucara,1 Corucara,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
46,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Patitana,1 Patitana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
47,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Rana,1 Rana,1599,Rhana,Rʜaӈa. x.,R. Talbert: * 11C4 ,2785,II1 Rana,Rana,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1931,TRUE,59766, 11C4,Rhana,Rhana,Chaarene/Arana,https://tp-online.ku.de/trefferanzeige_en.php?id=1931,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2785.html,https://pleiades.stoa.org/places/59766,28.03185914,64.95528307,0.584540089,-0.026644793,2.1,India Dimirica Evilat,Castorius (Roman),-
48,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Bestigia Daselenga,1 Bestigia Daselenga,428,Be(st)ia Deselutia,Beﬅıa. ꝺeſeluтıa.,R. Talbert: Bestia deselvtia 11C3 ,2772,II1 Bestigia Daselenga,Bestigia Daselenga,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1918,TRUE,59747, 11C3,Bestia deselutia,Bestia deselvtia,Bigis/Bestia Desolata/Parabeste,https://tp-online.ku.de/trefferanzeige_en.php?id=1918,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2772.html,https://pleiades.stoa.org/places/59747,31.5081,64.3566,0.581363936,-0.025942844,2.1,India Dimirica Evilat,Castorius (Roman),-
49,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Rainna,1 Rainna,1583,Rana,Rana. xx.,R. Talbert: * 11C3 ,2771,II1 Rainna,Rainna,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1917,TRUE,/, 11C3,Rana,Rana,,https://tp-online.ku.de/trefferanzeige_en.php?id=1917,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2771.html,,0,0,0.5810715,-0.024696999,2.1,India Dimirica Evilat,Castorius (Roman),-
50,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Bauterna,1 Bauterna,409,Bauterna,Bauтerna. xx.,R. Talbert: Bavterna 11C3 ,2770,II1 Bauterna,Bauterna,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1916,TRUE,/, 11C3,Bauterna,Bavterna,,https://tp-online.ku.de/trefferanzeige_en.php?id=1916,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2770.html,,0,0,0.580913467,-0.023294082,2.1,India Dimirica Evilat,Castorius (Roman),-
51,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Alexandria,1 Alexandria,696,Cotrica,coтrıca. xx.,R. Talbert: * 11C3 ,2769,II1 Alexandria,Alexandria,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1914,TRUE,/, 11C3,Cotrica,Cotrica,,https://tp-online.ku.de/trefferanzeige_en.php?id=1914,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2769.html,,0,0,0.580143258,-0.022681866,2.1,India Dimirica Evilat,Castorius (Roman),-
52,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Achirea,1 Achirea,1379,Ochirea,ochıʀea. xvı.,R. Talbert: * 11C3 ,2768,II1 Achirea,Achirea,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1913,TRUE,/, 11C3,Ochirea,ochirea,,https://tp-online.ku.de/trefferanzeige_en.php?id=1913,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2768.html,,0,0,0.579481165,-0.021961207,2.1,India Dimirica Evilat,Castorius (Roman),-
53,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Binnagar,1 Binnagar,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
