stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
1,452317,Croto(n),6B2,1419,456,Crontona,Crontona,,,Crontona,,330,84,,[GG: Crotona],Crotona,72.2,Crotona,Crotona,39.0811675,17.127966,0.289040794,-0.015319259
1,452461,Tacina,6B2,1420,458,Lacenium,Lacenivm,yes,,Lacenivm,,330,84,,[GG: Facenium],Facenio,72.21,Facenium,Facenium,38.935085,16.908956,0.290498267,-0.015472151
1,452293,Castra Hannibalis,6B2,1404,441,Annibali,Annibali,yes,End of PT coastline,Annibali,61,330,84,330.4,Anival,Aniaba,72.22,Annibal,Hannibal,38.819771,16.610374,0.292832118,-0.016305806
1,452352,Kaulonia,6B2,1412,450,Caulon,Cavlon,yes,,Cavlon,62,330,84,330.5,Caulon,Caulon,74.1,Caulon,Caulon,38.44733537,16.57937167,0.293843143,-0.017457952
1,452369,Lokroi Epizephyrioi,6B2,1411,449,Lucis,Lvcis,,,Lvcis,63,330,84,330.6,Locris,Locris,74.2,Locris,Locris,38.2262955,16.2443395,0.294573388,-0.017864312
1,452435,Scyle,6B2,1410,448,Scyle,Scyle,,,Scyle,64,330,84,330.7,Sileon,Sileon,74.3,Scilleum,Sileum,37.9310215,15.9179564,0.294817049,-0.018322327
1,452365,Leucopetra,6B2,1409,446,Leucopetram,Levcopetrā,,,Levcopetra,65,330,84,330.8,Leucopetra,Leucopetra,74.4,Leucopetra,Leucopetia,38.017459,15.636815,0.294424012,-0.019641688
1,452416,Rhegion/Regium,6B2,1408,445,Regio,Regio,,,Regio,66,330,84,330.9,Regio Iulia,Regio Iulis,74.5,Regium,Regium,38.109279,15.64393,0.292188372,-0.020344714
2,452250,Ad Columnan,6B2,1407,444,[Columna Regia] (Miller),"(symbol, no name, no. 47)",,,[large symbol no label],1,331,85,,Columna Regia,Columna Regia,,Columna Regia,Columna Regia quae nunc Stilos,38.191434,15.651754,0.292646719,-0.019245857
2,452264,Arciade,6B2,1406,443,Arciade,Arciade,,,Arciade,2,331,85,,Arciades,Arciadis,,Arciades,Arciades,38.28633,15.812382,0.290945133,-0.019245314
2,452466,Taurianum,6B2,1405,442,Tauriana,Tavriana,,,Tavriana,3,331,85,,Tauriana,Tauriana,,Tauriana,Tauriana,38.394393,15.871422,0.289754057,-0.019286939
2,,,,,0,,,,,,4,331,85,,[GG: Amantia],Amantia,,Amantea,Amantea,0,0,,
2,588990228,Ponte di Annibale - Sant'Angelo,,,0,,,,,,5,331,85,,[GG: Agello],Agello,,Angellum.,Angellum.,,,,
2,,,,,0,,,,,,,331,85,,,Item iuxta mare Gallicum est civitas quae dicitur,,Item iuxta mare magnum Gallicum quod Tyrrenum civitas est,"Item iuxta mare Gallicum et magnum, quod et Tyrrenum, civitates sunt",0,0,,
